query,reference,candidate
Microsoft security updates and patched flaws,"Microsoft's Patch Tuesday update fixed 78 flaws across its products, including five zero-days under active exploitation: CVE-2025-30397 (Scripting Engine memory corruption), CVE-2025-30400 (DWM Core Library privilege escalation), CVE-2025-32701 and CVE-2025-32706 (Windows CLFS driver privilege escalation), and CVE-2025-32709 (WinSock Ancillary Function Driver privilege escalation). CISA added all five to its KEV catalog with a June 3, 2025 deadline. The highest-rated flaw was CVE-2025-29813 (CVSS 10.0), a privilege-escalation bug in Azure DevOps Server that Microsoft had already mitigated in the cloud. Of the 78 flaws, 11 were critical and 28 enabled remote code execution. More recently, Microsoft patched SharePoint flaws including CVE-2026-50522, added to CISA's KEV catalog, after earlier warnings about SharePoint bugs CVE-2026-32201 and CVE-2026-45659. Other vendors shipped fixes in the same window, including SonicWall, which patched three SMA 100 flaws (CVE-2025-32819/32820/32821) that can be chained for root-level remote code execution, one possibly exploited as a zero-day.","Microsoft Fixes 78 Flaws, 5 Zero-Days Exploited; CVSS 10 Bug Impacts Azure DevOps Server

Microsoft on Tuesday shipped fixes to address a total of 78 security flaws across its software lineup, including a set of five zero-days that have come under active exploitation in the wild. Of the 78 flaws resolved by the tech giant, 11 are rated Critical, 66 are rated Important, and one is rated Low in severity. Twenty-eight of these vulnerabilities lead to remote code execution, 21 of them are privilege escalation bugs, and 16 others are classified as information disclosure flaws."
Chinese APT cyber espionage campaigns,"Chinese and Chinese-speaking APTs remain highly active in cyber-espionage. Earth Ammit, linked to Chinese nation-state groups, ran the connected VENOM and TIDRONE campaigns against Taiwan and South Korea, penetrating the drone supply chain through service providers and ERP software to reach military and satellite targets with custom backdoors CXCLNT and CLNTEND. A suspected Chinese-speaking group tracked by Kaspersky targeted Central Asian governments with two new memory-resident backdoors, OctLurk and SilkLurk, plus a LurkProxy traffic tool, ultimately side-loading the well-known PlugX backdoor and stealing credentials and documents. Another China-nexus operation, JadeProx, used DLL side-loading and TriBack Loader to hit a Vietnamese hospital, the Malaysian foreign ministry, and Hong Kong schools. Notably, a Chinese-speaking actor (tracked as knaithe/KnYuan) used the DeepSeek model via the open-source Hermes Agent framework to launch largely autonomous attacks against more than 460 targets after a single Telegram instruction, though Unit 42 could confirm only three successful compromises, for example via the NetScaler flaw CVE-2026-3055. These groups favor internet-facing enterprise systems for long-term strategic access.","Earth Ammit Breached Drone Supply Chains via ERP in VENOM, TIDRONE Campaigns

A cyber espionage group known as Earth Ammit has been linked to two related but distinct campaigns from 2023 to 2024 targeting various entities in Taiwan and South Korea, including military, satellite, heavy industry, media, technology, software services, and healthcare sectors. Cybersecurity firm Trend Micro said the first wave, codenamed VENOM, mainly targeted software service providers, while the second wave, referred to as TIDRONE, singled out the military industry. Earth Ammit is assessed to be connected to Chinese-speaking nation-state groups."
attacks exploiting VPN and firewall appliances,"VPN and firewall appliances remain prime targets because compromising them yields deep, often unauthenticated access. SonicWall patched three flaws in its SMA 100 SSL-VPN appliances, CVE-2025-32819, CVE-2025-32820, and CVE-2025-32821, that Rapid7 showed can be chained by an attacker with SSL-VPN user access to gain root-level remote code execution; one may have been exploited as a zero-day, and older SMA 100 bugs (CVE-2021-20035, CVE-2023-44221, CVE-2024-38475) were already under active exploitation. Rapid7 also traced exploitation of SonicWall SMA1000 devices back to late June, warning that attackers harvest local credentials, session databases, and MFA seeds for long-term persistence, with early activity linked to a VPN hosting provider. Ivanti Sentry appliances have likewise seen exploitation attempts hitting honeypots, prompting CISA to add the bug to its KEV catalog. Separately, Check Point argues the firewall itself must evolve, promoting an AI Network Firewall to govern AI-driven traffic that traditional appliances cannot inspect.","The Network Has Become the Control Plane for AI Security

Network firewalls are the workhorses of modern cybersecurity. They are trusted to protect the network, blocking malicious traffic and preventing intrusions and breaches. And for decades, network security teams have built controls around a relatively stable model: users connect to applications, applications exchange data, and security tools inspect packets, protocols, and destinations."
malware stealing cryptocurrency wallets,"Cryptocurrency wallets are being drained through firmware flaws, infostealers, phishing, and supply-chain poisoning. A firmware weakness in Coldcard hardware wallets, a 2021 integration error that routed seed generation to a weak software PRNG instead of the hardware RNG, was linked to a $70 million Bitcoin theft that swept 1,196 addresses in 41 minutes; Coinkite shipped emergency firmware but exposed seeds must be regenerated. DPRK-linked macOS malware delivered via fake update lures deploys an information stealer that targets 157 cryptocurrency wallets plus a malicious Chrome extension that drains funds. At scale, the FreeDrain operation used 38,000+ SEO-driven phishing subdomains to steal wallet seed phrases, while the Inferno Drainer drainer-as-a-service hit more than 30,000 wallets for at least $9 million using single-use smart contracts. In a supply-chain twist, attackers poisoned a JavaScript file served by ad-tech firm Adform (trackpoint-async.js) so it silently rewrote copied Bitcoin, Ethereum, and Tron addresses across many downstream sites, redirecting payments to the attackers.","Coldcard Hardware Wallet Flaw Linked to $70 Million Bitcoin Theft in 41 Minutes

An attacker drained 1,196 Bitcoin addresses in 41 minutes on July 30, taking 1,082.65 BTC worth about $70.2 million at the time. Galaxy Research mapped the sweep and tied it to a firmware flaw in Coldcard, the Bitcoin-only hardware wallet made by Canadian firm Coinkite. A March 2021 firmware integration error routed seed generation to a deterministic software pseudorandom number generator (PRNG) instead of the STM32 hardware random number generator (RNG)."
Russian hackers targeting Ukraine,"The retrieved reporting shows Russia-linked actors whose activity centered on Ukraine before broadening to Western targets. Laundry Bear (also tracked as TA488/Void Blizzard) first targeted cloud environments in Ukraine, then expanded to US and European government and industry, exploiting a zero-day cross-site scripting flaw in Zimbra Collaboration (CVE-2025-66376) via half-click emails that trigger the moment they are viewed, deploying a JavaScript payload (ZimReaper) that harvests up to 90 days of mail. The same actor later exploited a Microsoft Outlook Web Access XSS bug (CVE-2026-42897) to keep mailbox access even after credential rotation. Separately, ESET attributes to Sednit/APT28 (Fancy Bear, tied to Russia's GRU) a campaign exploiting XSS vulnerabilities in webmail software including Roundcube, Horde, MDaemon, and Zimbra against government agencies. Much of this material describes Russian espionage that began against Ukraine and expanded outward rather than Ukraine-only operations; one item instead covers Russia's FSB charging Telegram's founder and accusing Ukrainian intelligence of recruitment schemes.","Russia-backed threat actor targets Western organizations in phishing campaign

U.S. authorities warned in an advisory released Thursday that a state-sponsored threat actor has targeted government and private sector organizations since mid-2025 through a sophisticated phishing campaign that exploits a high-severity flaw in Zimbra Collaboration Suite. A Russia-backed threat actor known as Laundry Bear targeted cloud environments in Ukraine before expanding to Western targets in various industrial sectors, according to the Cybersecurity and Infrastructure Security Agency and National Security Agency."
security vulnerabilities in AI and LLM tools,"Internet-exposed AI and LLM tools are becoming a notable attack surface. Censys found publicly accessible AI services jumped from about 183,000 to more than 294,000 IP addresses between October 2025 and early 2026, and warned that the most vulnerable products are also the most exposed. The AI agent-building tool Langflow has accumulated 18 vulnerabilities since 2024, 14 high-severity and four seeing exploitation, including multiple unauthenticated remote-code-execution flaws that make any exposed instance a critical risk. LiteLLM, a unified gateway to commercial LLMs, has roughly doubled its exposed footprint even as attackers exploit a pre-authentication SQL-injection flaw; because it stores customers' API keys for many services, a compromise is especially damaging. CISA added a critical command-injection bug in BerriAI LiteLLM, CVE-2026-42271, to its KEV catalog over active exploitation. More broadly, ENISA and others note that frontier AI models are compressing the vulnerability lifecycle, and criminals have been using AI to find flaws and code exploits.","Vulnerabilities found by AI still need to be managed. Criminals have been using AI to find vulnerabilities, code exploits, and code malware since last year."
fake IT worker and job interview scams,"North Korea runs an extensive fraudulent IT-worker and fake-interview operation to funnel wages back to Pyongyang. Under names like Famous Chollima, Nickel Tapestry, and Wagemole, operatives flood job sites such as Xing, Upwork, and Toptal with fabricated profiles built on AI-generated stock images, stolen identities, and generative-AI-written resumes, then use mouse jigglers, Astrill VPN, and IP-KVM devices to work remotely while hiding their location. Sophos reports the scheme expanding into Europe, Asia, and non-tech industries, with workers embedded up to 14 months and sometimes turning to data theft and extortion after termination. Kraken documented trapping one applicant (Steven Smith) who failed live location-verification questions, and the US DOJ obtained a guilty plea from a Maryland man who fronted a job for a North Korean national in China via a laptop-farm facilitator. The related Contagious Interview cluster pairs the scheme with malware like OtterCookie delivered through fake coding tests and ClickFix interview lures. Defenders are urged to strengthen identity verification, monitor for impossible-travel logins, and watch for insider-threat behavior.","OtterCookie v4 Adds VM Detection and Chrome, MetaMask Credential Theft Capabilities

The North Korean threat actors behind the Contagious Interview campaign have been observed using updated versions of a cross-platform malware called OtterCookie with capabilities to steal credentials from web browsers and other files. NTT Security Holdings, which detailed the new findings, said the attackers have ""actively and continuously"" updated the malware, introducing versions v3 and v4 in February and April 2025, respectively. The Japanese cybersecurity company is tracking the cluster under the name WaterPlum, which is also known as CL-STA-0240, DeceptiveDevelopment, DEV#POPPER, Famous Chollima, PurpleBravo, and Tenacious Pungsan."
Linux kernel security vulnerabilities,"A prominent recent Linux kernel flaw is a use-after-free race condition in the kernel's traffic-control (TC) subsystem: concurrent RTM_NEWTFILTER and RTM_DELTFILTER operations can leave one thread using an action object another thread has freed, and the upstream patch fixes it by deferring the free until existing RCU readers finish. A researcher (Lee), with AI assistance, turned it into a reliable local privilege-escalation exploit that creates its own user and network namespaces to gain CAP_NET_ADMIN without host admin rights, then overwrites core_pattern through a ROP chain to run code as root, succeeding in all 10 test runs on CentOS Stream 9. Public exploit code raises the urgency, though it uses fixed gadget offsets and must be rebuilt per kernel package, and distribution status is uneven (Debian fixed, Ubuntu and SUSE still pending as of late July). Separately, researchers disclosed new Intel CPU flaws that leak kernel memory and re-enable Spectre v2, Branch Privilege Injection (CVE-2024-45332) and the Training Solo / Indirect Target Selection issues (CVE-2024-28956, CVE-2025-24495), addressed through Intel microcode updates.","Researcher Says AI Helped Develop Linux Traffic-Control Race Into Root Exploit

The vulnerability sits in the lifecycle handling of Linux traffic-control actions. Concurrent RTM_NEWTFILTER and RTM_DELTFILTER operations can leave one thread reading an action object after another thread has freed it. The upstream patch fixes the race by deferring the free operation until existing read-copy-update (RCU) readers have finished."
credential theft and infostealer malware,"Credential-theft and infostealer activity is increasingly commoditized and stealthy. OnyxC2 is a malware-as-a-service stealer offered from $250 a month that bundles enterprise-grade capabilities, browser-based HVNC, LSASS dumping, in-memory RunPE, a reverse SOCKS5 proxy, keylogging, and a built-in TOR tunnel, turning a single compromised workstation into broad standing access. In a Russia-attributed operation, Storm-2945 (a sub-cluster of APT29/Cozy Bear/Midnight Blizzard, tied to the SVR) hijacked hotel Wi-Fi captive portals to forge DNS answers and push fake browser or OS updates via ClickFix; victims who ran the payload got the Go-based CornFlake implant, which steals browser cookies and saved passwords including Chrome App-Bound-Encryption-protected cookies, and the in-memory ChocoShell stealer that grabs Microsoft 365 and Azure AD tokens. Other campaigns pair loaders with stealers, with CastleLoader now delivering Needle Stealer components via ClickFix lures, and the GenieLocker operation harvesting credentials after entering through a partner's OpenVPN connection. The common pattern is trusted-looking screens and legitimate access being abused to harvest credentials and session tokens.","OnyxC2 Stealer Offers Cybercriminals Enterprise-Grade Theft for $250 a Month

The OnyxC2 stealer surfaced on a cybercrime network earlier this year and is available through Malware-as-a-Service (MaaS) for hire starting at $250 per month. The stealer is paired with a remote-access toolkit and provides HVNC over a web browser, LSASS dumping, RunPE in memory and on disk, a reverse SOCKS5 proxy, screenshot capture, a keylogger, a file manager, and a reverse shell over HTTP, a built-in TOR tunnel and AES-256-encrypted build downloads. A stealer with this reach turns one compromised workstation into standing access across a person’s working life."
cloud security misconfigurations and breaches,"The retrieved material touches cloud and infrastructure exposure more than classic cloud-misconfiguration breaches. One clear example is 24,650 internet-exposed baseboard management controllers (BMCs) that disclose IPMI password hashes before login, a serious exposure since BMCs control servers and let attackers persist below most security tooling even after rebuilds, a concern amplified by rapidly expanding AI infrastructure. A regulatory case (a $400 million Coupang fine) was traced to critical deficiencies in access controls and authentication-key management. Broader threat roundups note related identity-and-cloud incidents: Health-ISAC warns that ShinyHunters increasingly prioritize SaaS-account takeover and rapid data exfiltration over ransomware, and Australia's Origin Energy said about 900,000 customers had data accessed. A cryptomining campaign also abused a trusted third-party relationship to reach a Linux environment. Overall the theme is exposed management interfaces, weak access-control configuration, and abused trusted access rather than a single headline cloud breach.",Investigations revealed critical deficiencies in access controls and authentication key management.
